Reg. Date,Property Name,Street,Block,Floor,Flat,Price$(M),Build Size(feet),Actual Size(feet),Price/sq.ft,Building age(year),Type
2019-07-24,,APLIU ST,,05,F.P.,4.82,,,,,ASSIGN
2019-07-24,,APLIU ST,,05,R.P.,4.6,,,,45.0,ASSIGN
2019-07-24,,APLIU ST,,04,R.P.,3.39,,,,,ASSIGN
2019-07-24,,APLIU ST,,03,F.P.,3.83,,,,,ASSIGN
2019-07-24,,APLIU ST,,M,,30.0,,,,,ASSIGN
2019-07-24,,APLIU ST,,05,F.P.,4.82,,,,,ASSIGN
2019-07-24,KIN WO COURT,YU CHAU ST,,03,A,3.98,,,,33.0,ASSIGN
2019-07-24,PO SANG BANK BLDG,CASTLE PEAK RD,,08,C,4.78,Appr 448,,10669.0,34.0,ASSIGN
2019-07-24,PO SANG BANK BLDG,CASTLE PEAK RD,,08,C,4.78,Appr 448,,10669.0,34.0,ASSIGN
2019-07-24,,APLIU ST,,01,,7.53,,,,,ASSIGN
2019-07-24,,APLIU ST,,05,R.P.,4.6,,,,45.0,ASSIGN
2019-07-24,,APLIU ST,,04,R.P.,3.39,,,,,ASSIGN
2019-07-24,,APLIU ST,,03,R.P.,3.39,,,,,ASSIGN
2019-07-24,,APLIU ST,,04,R.P.,3.39,,,,,ASSIGN
2019-07-24,,APLIU ST,,G,,30.0,,,,,ASSIGN
